hb, dsr, seed, mw, mh, w, h, wl, t
200, 0.15, 31, 449, 449, 448, 448, 375118, 136.14
200, 0.1, 31, 439, 439, 439, 438, 387187, 138.36
300, 0.15, 31, 560, 560, 560, 560, 510042, 317.5
300, 0.1, 31, 548, 548, 548, 548, 544290, 314.45
100, 0.15, 32, 454, 454, 454, 452, 207532, 32.42
100, 0.1, 32, 444, 444, 444, 444, 214103, 29.72
200, 0.15, 32, 449, 449, 447, 449, 378105, 139.33
200, 0.1, 32, 439, 439, 439, 439, 392492, 143
300, 0.15, 32, 560, 560, 560, 560, 510188, 328.97
300, 0.1, 32, 548, 548, 548, 548, 546485, 329.65
100, 0.15, 33, 454, 454, 451, 454, 206884, 31.93
100, 0.1, 33, 444, 444, 444, 444, 217605, 30.32
200, 0.15, 33, 449, 449, 449, 449, 382389, 138.27
200, 0.1, 33, 439, 439, 439, 439, 385245, 145.25
300, 0.15, 33, 560, 560, 557, 557, 513609, 326.16
300, 0.1, 33, 548, 548, 548, 548, 540401, 311.79
100, 0.15, 34, 454, 454, 454, 454, 209086, 30.52
100, 0.1, 34, 444, 444, 444, 444, 215218, 32.17
200, 0.15, 34, 449, 449, 449, 449, 375759, 144.89
200, 0.1, 34, 439, 439, 439, 439, 384854, 138.47
300, 0.15, 34, 560, 560, 560, 558, 505966, 332.5
300, 0.1, 34, 548, 548, 548, 548, 541298, 326.47
100, 0.15, 35, 454, 454, 453, 454, 208527, 31.33
100, 0.1, 35, 444, 444, 444, 442, 213870, 30.87
200, 0.15, 35, 449, 449, 449, 447, 380511, 146.17
200, 0.1, 35, 439, 439, 438, 439, 385137, 145.27
300, 0.15, 35, 560, 560, 560, 560, 510083, 334.38
300, 0.1, 35, 548, 548, 548, 548, 542980, 319.83
100, 0.15, 36, 454, 454, 453, 452, 206685, 32.33
100, 0.1, 36, 444, 444, 444, 444, 213728, 30.19
200, 0.15, 36, 449, 449, 448, 449, 375951, 145.01
200, 0.1, 36, 439, 439, 439, 439, 388213, 138.14
300, 0.15, 36, 560, 560, 560, 559, 510900, 327.14
300, 0.1, 36, 548, 548, 548, 548, 543697, 341.55
100, 0.15, 37, 454, 454, 453, 454, 206747, 32.3
100, 0.1, 37, 444, 444, 444, 444, 214312, 30.67
200, 0.15, 37, 449, 449, 448, 449, 379249, 140.85
200, 0.1, 37, 439, 439, 439, 437, 389363, 146.65
300, 0.15, 37, 560, 560, 560, 558, 509748, 315.18
300, 0.1, 37, 548, 548, 548, 548, 543107, 325.31
100, 0.15, 38, 454, 454, 453, 453, 207883, 30.97
100, 0.1, 38, 444, 444, 444, 444, 213610, 30.06
200, 0.15, 38, 449, 449, 449, 448, 377871, 149.66
200, 0.1, 38, 439, 439, 439, 439, 387056, 146.37
300, 0.15, 38, 560, 560, 560, 558, 505552, 312.26
300, 0.1, 38, 548, 548, 548, 548, 550577, 326.76
100, 0.15, 39, 454, 454, 453, 454, 204581, 30.07
100, 0.1, 39, 444, 444, 443, 444, 213236, 29.84
200, 0.15, 39, 449, 449, 449, 448, 378426, 144.53
200, 0.1, 39, 439, 439, 439, 439, 386709, 144.59
300, 0.15, 39, 560, 560, 560, 558, 508024, 330.93
300, 0.1, 39, 548, 548, 548, 548, 539661, 321.64
100, 0.15, 40, 454, 454, 452, 454, 208183, 31.5
100, 0.1, 40, 444, 444, 443, 444, 217235, 30.65
